"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","13.951474","0","12"
"/InterchangeAssets/gltf/M_Default.M_Default","0","177","204","6","140.895935","0","204"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","7","7","1","1.592828","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","7","7","1","2.127158","0","7"
"/Game/Toeic_Room/Materials/M_Base_2.M_Base_2","0","6","7","1","5.423134","0","7"
"/CameraCalibrationCore/Materials/M_DistortionPostProcess.M_DistortionPostProcess","0","7","7","1","2.108256","0","7"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","3.224274","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.100962","0","5"
"/MetaHumanCharacter/Controls/M_RigControlActor_Black.M_RigControlActor_Black","0","8","8","1","6.367878","0","8"
"/MetaHumanCharacter/Materials/M_GrayTexture_Body.M_GrayTexture_Body","0","42","48","1","53.279861","0","48"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","1.653375","0","2"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","4.662525","0","5"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","6.054914","0","6"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","7.747768","0","9"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","12","12","1","12.966451","0","12"
